customer_id,date_column,amount,description,location
1,1/1/2022,5000,Purchase A,Store A
2,15/2/2022,1200,Purchase B,Store B
3,20/3/2022,800,Purchase C,Store C
4,10/4/2022,3000,Purchase D,Store D
5,5/5/2022,6000,Purchase E,Store E
6,10/6/2022,4500,Purchase F,Store F
7,15/7/2022,200,Purchase G,Store G
8,20/8/2022,3500,Purchase H,Store H
9,25/9/2022,700,Purchase I,Store I
10,30/10/2022,1800,Purchase J,Store J
11,5/11/2022,2200,Purchase K,Store K
12,10/12/2022,900,Purchase L,Store L
13,15/1/2023,4800,Purchase M,Store M
14,20/2/2023,300,Purchase N,Store N
15,25/3/2023,4200,Purchase O,Store O
16,30/4/2023,2600,Purchase P,Store P
17,5/5/2023,700,Purchase Q,Store Q
18,10/6/2023,1500,Purchase R,Store R
19,15/7/2023,3200,Purchase S,Store S
20,20/8/2023,1000,Purchase T,Store T
21,25/9/2023,5500,Purchase U,Store U
22,30/10/2023,1200,Purchase V,Store V
23,5/11/2023,700,Purchase W,Store W
24,10/12/2023,2400,Purchase X,Store X
25,15/1/2024,1800,Purchase Y,Store Y
26,20/2/2024,900,Purchase Z,Store Z
27,25/3/2024,4200,Purchase AA,Store AA
28,30/4/2024,2600,Purchase BB,Store BB
29,5/5/2024,700,Purchase CC,Store CC
30,10/6/2024,1500,Purchase DD,Store DD
31,15/7/2024,3200,Purchase EE,Store EE
32,20/8/2024,1000,Purchase FF,Store FF
33,25/9/2024,5500,Purchase GG,Store GG
34,30/10/2024,1200,Purchase HH,Store HH
35,5/11/2024,700,Purchase II,Store II
36,10/12/2024,2400,Purchase JJ,Store JJ
37,15/1/2025,1800,Purchase KK,Store KK
38,20/2/2025,900,Purchase LL,Store LL
39,25/3/2025,4200,Purchase MM,Store MM
40,30/4/2025,2600,Purchase NN,Store NN
41,5/5/2025,700,Purchase OO,Store OO
42,10/6/2025,1500,Purchase PP,Store PP
43,15/7/2025,3200,Purchase QQ,Store QQ
44,20/8/2025,1000,Purchase RR,Store RR
45,25/9/2025,5500,Purchase SS,Store SS
46,30/10/2025,1200,Purchase TT,Store TT
47,5/11/2025,700,Purchase UU,Store UU
48,10/12/2025,2400,Purchase VV,Store VV
49,15/1/2026,1800,Purchase WW,Store WW
50,20/2/2026,900,Purchase XX,Store XX
51,25/3/2026,4200,Purchase YY,Store YY
52,30/4/2026,2600,Purchase ZZ,Store ZZ
53,5/5/2026,700,Purchase AAA,Store AAA
54,10/6/2026,1500,Purchase BBB,Store BBB
55,15/7/2026,3200,Purchase CCC,Store CCC
56,20/8/2026,1000,Purchase DDD,Store DDD
57,25/9/2026,5500,Purchase EEE,Store EEE
58,30/10/2026,1200,Purchase FFF,Store FFF
59,5/11/2026,700,Purchase GGG,Store GGG
60,10/12/2026,2400,Purchase HHH,Store HHH
61,15/1/2027,1800,Purchase III,Store III
62,20/2/2027,900,Purchase JJJ,Store JJJ
63,25/3/2027,4200,Purchase KKK,Store KKK
64,30/4/2027,2600,Purchase LLL,Store LLL
65,5/5/2027,700,Purchase MMM,Store MMM
66,10/6/2027,1500,Purchase NNN,Store NNN
67,15/7/2027,3200,Purchase OOO,Store OOO
68,20/8/2027,1000,Purchase PPP,Store PPP
69,25/9/2027,5500,Purchase QQQ,Store QQQ
70,30/10/2027,1200,Purchase RRR,Store RRR
71,5/11/2027,700,Purchase SSS,Store SSS
72,10/12/2027,2400,Purchase TTT,Store TTT
73,15/1/2028,1800,Purchase UUU,Store UUU
74,20/2/2028,900,Purchase VVV,Store VVV
75,25/3/2028,4200,Purchase WWW,Store WWW
76,30/4/2028,2600,Purchase XXX,Store XXX
77,5/5/2028,700,Purchase YYY,Store YYY
78,10/6/2028,1500,Purchase ZZZ,Store ZZZ
79,15/7/2028,3200,Purchase AAAA,Store AAAA
80,20/8/2028,1000,Purchase BBBB,Store BBBB
81,25/9/2028,5500,Purchase CCCC,Store CCCC
82,30/10/2028,1200,Purchase DDDD,Store DDDD
83,5/11/2028,700,Purchase EEEE,Store EEEE
84,10/12/2028,2400,Purchase FFFF,Store FFFF
85,15/1/2029,1800,Purchase GGGG,Store GGGG
86,20/2/2029,900,Purchase HHHH,Store HHHH
87,25/3/2029,4200,Purchase IIII,Store IIII
88,30/4/2029,2600,Purchase JJJJ,Store JJJJ
89,5/5/2029,700,Purchase KKKK,Store KKKK
90,10/6/2029,1500,Purchase LLLL,Store LLLL
91,15/7/2029,3200,Purchase MMMM,Store MMMM
92,20/8/2029,1000,Purchase NNNN,Store NNNN
93,25/9/2029,5500,Purchase OOOO,Store OOOO
94,30/10/2029,1200,Purchase PPPP,Store PPPP
95,5/11/2029,700,Purchase QQQQ,Store QQQQ
96,10/12/2029,2400,Purchase RRRR,Store RRRR
97,15/1/2030,1800,Purchase SSSS,Store SSSS
98,20/2/2030,900,Purchase TTTT,Store TTTT
99,25/3/2030,4200,Purchase UUUU,Store UUUU
100,30/4/2030,2600,Purchase VVVV,Store VVVV
