customer_id,transaction_date,value,notes
1,1/1/2022,1500,Note 1
2,15/2/2022,2000,Note 2
3,20/3/2022,1000,Note 3
4,10/4/2022,2500,Note 4
5,5/5/2022,1800,Note 5
6,10/6/2022,1200,Note 6
7,15/7/2022,700,Note 7
8,20/8/2022,3000,Note 8
9,25/9/2022,600,Note 9
10,30/10/2022,1200,Note 10
11,5/11/2022,1500,Note 11
12,10/12/2022,800,Note 12
13,15/1/2023,2000,Note 13
14,20/2/2023,700,Note 14
15,25/3/2023,1800,Note 15
16,30/4/2023,1000,Note 16
17,5/5/2023,400,Note 17
18,10/6/2023,1500,Note 18
19,15/7/2023,3000,Note 19
20,20/8/2023,600,Note 20
21,25/9/2023,2500,Note 21
22,30/10/2023,700,Note 22
23,5/11/2023,400,Note 23
24,10/12/2023,1200,Note 24
25,15/1/2024,800,Note 25
26,20/2/2024,400,Note 26
27,25/3/2024,1800,Note 27
28,30/4/2024,1000,Note 28
29,5/5/2024,400,Note 29
30,10/6/2024,1500,Note 30
31,15/7/2024,3000,Note 31
32,20/8/2024,600,Note 32
33,25/9/2024,2500,Note 33
34,30/10/2024,700,Note 34
35,5/11/2024,400,Note 35
36,10/12/2024,1200,Note 36
37,15/1/2025,800,Note 37
38,20/2/2025,400,Note 38
39,25/3/2025,1800,Note 39
40,30/4/2025,1000,Note 40
41,5/5/2025,400,Note 41
42,10/6/2025,1500,Note 42
43,15/7/2025,3000,Note 43
44,20/8/2025,600,Note 44
45,25/9/2025,2500,Note 45
46,30/10/2025,700,Note 46
47,5/11/2025,400,Note 47
48,10/12/2025,1200,Note 48
49,15/1/2026,800,Note 49
50,20/2/2026,400,Note 50
51,25/3/2026,1800,Note 51
52,30/4/2026,1000,Note 52
53,5/5/2026,400,Note 53
54,10/6/2026,1500,Note 54
55,15/7/2026,3000,Note 55
56,20/8/2026,600,Note 56
57,25/9/2026,2500,Note 57
58,30/10/2026,700,Note 58
59,5/11/2026,400,Note 59
60,10/12/2026,1200,Note 60
61,15/1/2027,800,Note 61
62,20/2/2027,400,Note 62
63,25/3/2027,1800,Note 63
64,30/4/2027,1000,Note 64
65,5/5/2027,400,Note 65
66,10/6/2027,1500,Note 66
67,15/7/2027,3000,Note 67
68,20/8/2027,600,Note 68
69,25/9/2027,2500,Note 69
70,30/10/2027,700,Note 70
71,5/11/2027,400,Note 71
72,10/12/2027,1200,Note 72
73,15/1/2028,800,Note 73
74,20/2/2028,400,Note 74
75,25/3/2028,1800,Note 75
76,30/4/2028,1000,Note 76
77,5/5/2028,400,Note 77
78,10/6/2028,1500,Note 78
79,15/7/2028,3000,Note 79
80,20/8/2028,600,Note 80
81,25/9/2028,2500,Note 81
82,30/10/2028,700,Note 82
83,5/11/2028,400,Note 83
84,10/12/2028,1200,Note 84
85,15/1/2029,800,Note 85
86,20/2/2029,400,Note 86
87,25/3/2029,1800,Note 87
88,30/4/2029,1000,Note 88
89,5/5/2029,400,Note 89
90,10/6/2029,1500,Note 90
91,15/7/2029,3000,Note 91
92,20/8/2029,600,Note 92
93,25/9/2029,2500,Note 93
94,30/10/2029,700,Note 94
95,5/11/2029,400,Note 95
96,10/12/2029,1200,Note 96
97,15/1/2030,800,Note 97
98,20/2/2030,400,Note 98
99,25/3/2030,1800,Note 99
100,30/4/2030,1000,Note 100
